# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),mx (),my (),mz (),E_total (J),E_anis (J),E_exch (J),E_demag (J),E_Zeeman (J)
0,488980.457,-2.25E-03,0,0.14999999,0,0,0.99791926,-4.59E-09,0,-1.31E-16,0,1.27E-19,1.32E-17,-1.44E-16
0,488971.4704,-1.67E-03,0,0.149,0,0,0.99790096,-3.41E-09,0,-1.30E-16,0,1.28E-19,1.32E-17,-1.43E-16
0,488962.425,-1.12E-03,0,0.148,0,0,0.9978825,-2.28E-09,0,-1.29E-16,0,1.29E-19,1.32E-17,-1.42E-16
0,488953.1885,-1.23E-03,0,0.147,0,0,0.99786365,-2.50E-09,0,-1.28E-16,0,1.30E-19,1.32E-17,-1.41E-16
0,488943.854,-1.13E-03,0,0.14600001,0,0,0.9978446,-2.31E-09,0,-1.27E-16,0,1.31E-19,1.32E-17,-1.40E-16
0,488934.3774,-1.88E-03,0,0.145,0,0,0.9978253,-3.84E-09,0,-1.26E-16,0,1.33E-19,1.32E-17,-1.39E-16
0,488924.842,-1.50E-03,0,0.144,0,0,0.9978058,-3.06E-09,0,-1.25E-16,0,1.34E-19,1.32E-17,-1.38E-16
0,488915.14,-1.60E-03,0,0.143,0,0,0.9977859,-3.27E-09,0,-1.24E-16,0,1.35E-19,1.32E-17,-1.37E-16
0,488905.2616,-5.15E-04,0,0.142,0,0,0.9977659,-1.05E-09,0,-1.23E-16,0,1.36E-19,1.32E-17,-1.36E-16
0,488895.295,-1.48E-03,0,0.14100002,0,0,0.9977455,-3.01E-09,0,-1.22E-16,0,1.37E-19,1.32E-17,-1.36E-16
0,488885.2255,-1.04E-03,0,0.14,0,0,0.997725,-2.12E-09,0,-1.21E-16,0,1.39E-19,1.31E-17,-1.35E-16
0,488874.96,-1.60E-03,0,0.139,0,0,0.9977041,-3.27E-09,0,-1.20E-16,0,1.40E-19,1.31E-17,-1.34E-16
0,488864.67,-1.46E-03,0,0.138,0,0,0.9976829,-2.98E-09,0,-1.19E-16,0,1.41E-19,1.31E-17,-1.33E-16
0,488854.1497,-1.66E-03,0,0.13699998,0,0,0.9976615,-3.38E-09,0,-1.18E-16,0,1.43E-19,1.31E-17,-1.32E-16
0,488843.551,-1.67E-03,0,0.13600002,0,0,0.99763983,-3.41E-09,0,-1.17E-16,0,1.44E-19,1.31E-17,-1.31E-16
0,488832.7416,-1.73E-03,0,0.135,0,0,0.99761784,-3.53E-09,0,-1.16E-16,0,1.45E-19,1.31E-17,-1.30E-16
0,488821.746,-1.35E-03,0,0.134,0,0,0.9975954,-2.75E-09,0,-1.16E-16,0,1.47E-19,1.31E-17,-1.29E-16
0,488810.721,-1.30E-03,0,0.133,0,0,0.9975729,-2.65E-09,0,-1.15E-16,0,1.48E-19,1.31E-17,-1.28E-16
0,488799.4755,-9.89E-04,0,0.13199998,0,0,0.99755,-2.02E-09,0,-1.14E-16,0,1.49E-19,1.31E-17,-1.27E-16
0,488788.1124,-1.02E-03,0,0.131,0,0,0.99752676,-2.09E-09,0,-1.13E-16,0,1.51E-19,1.31E-17,-1.26E-16
0,488776.617,-1.81E-03,0,0.13,0,0,0.99750334,-3.69E-09,0,-1.12E-16,0,1.52E-19,1.31E-17,-1.25E-16
0,488764.906,-2.07E-03,0,0.129,0,0,0.99747944,-4.23E-09,0,-1.11E-16,0,1.54E-19,1.31E-17,-1.24E-16
0,488753.097,-1.50E-03,0,0.128,0,0,0.9974553,-3.07E-09,0,-1.10E-16,0,1.55E-19,1.31E-17,-1.23E-16
0,488741.043,-1.78E-03,0,0.12699999,0,0,0.9974307,-3.63E-09,0,-1.09E-16,0,1.57E-19,1.31E-17,-1.22E-16
0,488728.891,-1.42E-03,0,0.126,0,0,0.9974058,-2.89E-09,0,-1.08E-16,0,1.58E-19,1.31E-17,-1.21E-16
0,488716.494,-1.99E-03,0,0.125,0,0,0.9973806,-4.06E-09,0,-1.07E-16,0,1.60E-19,1.31E-17,-1.20E-16
0,488703.999,-1.49E-03,0,0.124000005,0,0,0.9973551,-3.04E-09,0,-1.06E-16,0,1.61E-19,1.31E-17,-1.19E-16
0,488691.259,-1.82E-03,0,0.12300001,0,0,0.9973291,-3.71E-09,0,-1.05E-16,0,1.63E-19,1.31E-17,-1.18E-16
0,488678.421,-1.73E-03,0,0.121999994,0,0,0.9973029,-3.52E-09,0,-1.04E-16,0,1.65E-19,1.31E-17,-1.17E-16
0,488665.387,-2.04E-03,0,0.121,0,0,0.9972762,-4.15E-09,0,-1.03E-16,0,1.66E-19,1.31E-17,-1.16E-16
0,488652.1325,-1.62E-03,0,0.12,0,0,0.99724925,-3.31E-09,0,-1.02E-16,0,1.68E-19,1.31E-17,-1.15E-16
0,488638.682,-8.79E-04,0,0.11900001,0,0,0.9972218,-1.79E-09,0,-1.01E-16,0,1.70E-19,1.31E-17,-1.14E-16
0,488625.158,-1.17E-03,0,0.118000016,0,0,0.99719405,-2.38E-09,0,-1.00E-16,0,1.71E-19,1.30E-17,-1.13E-16
0,488611.2714,-1.45E-03,0,0.11699999,0,0,0.9971659,-2.96E-09,0,-9.92E-17,0,1.73E-19,1.30E-17,-1.12E-16
0,488597.277,-1.50E-03,0,0.116,0,0,0.9971373,-3.06E-09,0,-9.82E-17,0,1.75E-19,1.30E-17,-1.11E-16
0,488583.116,-1.57E-03,0,0.115,0,0,0.99710834,-3.20E-09,0,-9.73E-17,0,1.77E-19,1.30E-17,-1.10E-16
0,488568.661,-2.08E-03,0,0.11400001,0,0,0.9970789,-4.24E-09,0,-9.63E-17,0,1.78E-19,1.30E-17,-1.10E-16
0,488554.0835,-1.26E-03,0,0.11299999,0,0,0.99704915,-2.58E-09,0,-9.53E-17,0,1.80E-19,1.30E-17,-1.09E-16
0,488539.212,-1.03E-03,0,0.111999996,0,0,0.99701875,-2.10E-09,0,-9.44E-17,0,1.82E-19,1.30E-17,-1.08E-16
0,488524.218,-1.91E-03,0,0.111,0,0,0.9969882,-3.89E-09,0,-9.34E-17,0,1.84E-19,1.30E-17,-1.07E-16
0,488508.93,-1.99E-03,0,0.11000001,0,0,0.996957,-4.06E-09,0,-9.25E-17,0,1.86E-19,1.30E-17,-1.06E-16
0,488493.4215,-5.83E-04,0,0.10899998,0,0,0.99692535,-1.19E-09,0,-9.15E-17,0,1.88E-19,1.30E-17,-1.05E-16
0,488477.717,-1.30E-03,0,0.107999995,0,0,0.9968933,-2.66E-09,0,-9.05E-17,0,1.90E-19,1.30E-17,-1.04E-16
0,488461.841,-2.26E-03,0,0.107,0,0,0.99686086,-4.61E-09,0,-8.96E-17,0,1.92E-19,1.30E-17,-1.03E-16
0,488445.6416,-2.45E-03,0,0.106,0,0,0.9968278,-5.00E-09,0,-8.86E-17,0,1.94E-19,1.30E-17,-1.02E-16
0,488429.2266,-1.87E-03,0,0.105000004,0,0,0.9967944,-3.81E-09,0,-8.77E-17,0,1.96E-19,1.30E-17,-1.01E-16
0,488412.596,-2.14E-03,0,0.10399999,0,0,0.9967605,-4.38E-09,0,-8.67E-17,0,1.98E-19,1.30E-17,-9.99E-17
0,488395.7596,-1.83E-03,0,0.10299999,0,0,0.9967259,-3.74E-09,0,-8.57E-17,0,2.00E-19,1.30E-17,-9.89E-17
0,488378.59,-1.39E-03,0,0.102,0,0,0.996691,-2.84E-09,0,-8.48E-17,0,2.02E-19,1.30E-17,-9.79E-17
0,488361.1754,-1.45E-03,0,0.101,0,0,0.99665546,-2.97E-09,0,-8.38E-17,0,2.04E-19,1.30E-17,-9.70E-17
0,488343.4766,-1.27E-03,0,0.10000001,0,0,0.99661934,-2.58E-09,0,-8.29E-17,0,2.07E-19,1.30E-17,-9.60E-17
0,488325.6063,-1.31E-03,0,0.09899999,0,0,0.99658287,-2.68E-09,0,-8.19E-17,0,2.09E-19,1.29E-17,-9.50E-17
0,488307.4077,-1.85E-03,0,0.098,0,0,0.99654573,-3.77E-09,0,-8.09E-17,0,2.11E-19,1.29E-17,-9.41E-17
0,488288.969,-1.49E-03,0,0.097,0,0,0.9965081,-3.04E-09,0,-8.00E-17,0,2.13E-19,1.29E-17,-9.31E-17
0,488270.202,-2.04E-03,0,0.09600001,0,0,0.99646986,-4.16E-09,0,-7.90E-17,0,2.16E-19,1.29E-17,-9.22E-17
0,488251.2145,-1.74E-03,0,0.095,0,0,0.996431,-3.55E-09,0,-7.81E-17,0,2.18E-19,1.29E-17,-9.12E-17
0,488231.884,-1.98E-03,0,0.09399999,0,0,0.99639153,-4.03E-09,0,-7.71E-17,0,2.21E-19,1.29E-17,-9.02E-17
0,488212.235,-1.90E-03,0,0.093,0,0,0.9963516,-3.87E-09,0,-7.61E-17,0,2.23E-19,1.29E-17,-8.93E-17
0,488192.3655,-1.65E-03,0,0.092,0,0,0.996311,-3.37E-09,0,-7.52E-17,0,2.26E-19,1.29E-17,-8.83E-17
0,488172.1824,-1.92E-03,0,0.091000006,0,0,0.99626976,-3.91E-09,0,-7.42E-17,0,2.28E-19,1.29E-17,-8.73E-17
0,488151.6514,-1.97E-03,0,0.09,0,0,0.9962278,-4.03E-09,0,-7.33E-17,0,2.31E-19,1.29E-17,-8.64E-17
0,488130.8264,-2.24E-03,0,0.088999994,0,0,0.99618536,-4.57E-09,0,-7.23E-17,0,2.33E-19,1.29E-17,-8.54E-17
0,488109.6535,-6.83E-04,0,0.088,0,0,0.9961422,-1.39E-09,0,-7.13E-17,0,2.36E-19,1.29E-17,-8.45E-17
0,488088.1866,-2.17E-03,0,0.087000005,0,0,0.99609834,-4.42E-09,0,-7.04E-17,0,2.39E-19,1.29E-17,-8.35E-17
0,488066.362,-2.21E-03,0,0.08600001,0,0,0.9960538,-4.51E-09,0,-6.94E-17,0,2.41E-19,1.29E-17,-8.25E-17
0,488044.2875,-2.01E-03,0,0.08499999,0,0,0.99600875,-4.10E-09,0,-6.85E-17,0,2.44E-19,1.29E-17,-8.16E-17
0,488021.8014,-1.87E-03,0,0.084,0,0,0.99596274,-3.81E-09,0,-6.75E-17,0,2.47E-19,1.29E-17,-8.06E-17
0,487998.987,-1.82E-03,0,0.083,0,0,0.9959163,-3.71E-09,0,-6.65E-17,0,2.50E-19,1.28E-17,-7.96E-17
0,487975.7414,-1.81E-03,0,0.08200001,0,0,0.99586886,-3.70E-09,0,-6.56E-17,0,2.53E-19,1.28E-17,-7.87E-17
0,487952.241,-2.59E-03,0,0.081,0,0,0.9958209,-5.29E-09,0,-6.46E-17,0,2.56E-19,1.28E-17,-7.77E-17
0,487928.3094,-2.51E-03,0,0.07999999,0,0,0.99577206,-5.11E-09,0,-6.37E-17,0,2.59E-19,1.28E-17,-7.67E-17
0,487904.025,-1.32E-03,0,0.079,0,0,0.9957225,-2.70E-09,0,-6.27E-17,0,2.62E-19,1.28E-17,-7.58E-17
0,487879.329,-2.95E-03,0,0.078,0,0,0.99567205,-6.02E-09,0,-6.17E-17,0,2.65E-19,1.28E-17,-7.48E-17
0,487854.2753,-3.01E-03,0,0.077,0,0,0.9956209,-6.13E-09,0,-6.08E-17,0,2.68E-19,1.28E-17,-7.39E-17
0,487828.81,-3.52E-03,0,0.076,0,0,0.995569,-7.18E-09,0,-5.98E-17,0,2.71E-19,1.28E-17,-7.29E-17
0,487802.9576,-2.14E-03,0,0.074999996,0,0,0.9955162,-4.37E-09,0,-5.89E-17,0,2.74E-19,1.28E-17,-7.19E-17
0,487776.7034,-3.97E-03,0,0.074,0,0,0.9954626,-8.09E-09,0,-5.79E-17,0,2.78E-19,1.28E-17,-7.10E-17
0,487750.018,-3.20E-03,0,0.07300001,0,0,0.9954082,-6.53E-09,0,-5.69E-17,0,2.81E-19,1.28E-17,-7.00E-17
0,487722.9014,-1.94E-03,0,0.072,0,0,0.9953528,-3.96E-09,0,-5.60E-17,0,2.84E-19,1.28E-17,-6.90E-17
